,变量名,2010年相关系数,2011年相关系数,2012年相关系数,2013年相关系数,2014年相关系数,2015年相关系数,2016年相关系数,合计相关系数,均值
17,HC01_VC11,0.6045,0.6226,0.6162,0.5928,0.585,0.6213,0.6633,0.5498,0.6151
162,HC01_VC70,0.615,0.6284,0.6237,0.5887,0.5796,0.6077,0.6406,0.6062,0.612
27,HC01_VC12,0.591,0.6092,0.6079,0.5871,0.5907,0.6148,0.6557,0.5579,0.6081
37,HC01_VC13,0.5837,0.604,0.6006,0.5904,0.5948,0.6188,0.6608,0.5911,0.6076
7,HC01_VC10,0.5706,0.5983,0.5866,0.5951,0.5877,0.6225,0.663,0.5453,0.6034
163,HC01_VC71,0.5715,0.5876,0.5901,0.5962,0.5816,0.617,0.6479,0.5957,0.5988
158,HC01_VC66,0.6091,0.5983,0.6037,0.5803,0.5717,0.5953,0.6182,0.5917,0.5967
159,HC01_VC67,0.589,0.6097,0.61,0.5753,0.5703,0.5833,0.6335,0.5026,0.5959
139,HC01_VC43,0.6114,0.6275,0.6093,0.5534,0.563,0.5784,0.6124,0.5521,0.5936
157,HC01_VC65,0.5999,0.6108,0.6072,0.5683,0.5577,0.5822,0.6217,0.5702,0.5925
6,HC01_VC09,0.5813,0.6088,0.5956,0.5661,0.5673,0.5831,0.6172,0.5062,0.5885
135,HC01_VC39,0.5875,0.6065,0.5927,0.5723,0.5544,0.5852,0.6171,0.5525,0.588
154,HC01_VC62,0.6029,0.6163,0.6136,0.5492,0.5429,0.5724,0.5974,0.5527,0.5849
132,HC01_VC36,0.5954,0.6142,0.5982,0.5446,0.5556,0.5686,0.6017,0.5498,0.5826
39,HC01_VC131,0.5665,0.5908,0.5838,0.5564,0.569,0.583,0.6179,0.5809,0.581
127,HC01_VC29,0.6033,0.6187,0.5874,0.5397,0.5488,0.5645,0.5955,0.5158,0.5797
146,HC01_VC52,0.6114,0.6326,0.6169,0.5312,0.5221,0.5525,0.5884,0.5493,0.5793
143,HC01_VC47,0.5271,0.5586,0.5651,0.5701,0.5839,0.5947,0.6318,0.5601,0.5759
0,HC01_VC03,0.5498,0.575,0.5714,0.5577,0.5695,0.5842,0.6214,0.5706,0.5756
364,HC03_VC03,0.5498,0.575,0.5714,0.5577,0.5695,0.5842,0.6214,0.5706,0.5756
86,HC01_VC18,0.5536,0.5744,0.5723,0.5539,0.5715,0.5791,0.6162,0.5723,0.5744
129,HC01_VC31,0.5527,0.5862,0.5791,0.5569,0.5463,0.5762,0.6067,0.5492,0.572
38,HC01_VC130,0.5517,0.5766,0.5708,0.5474,0.5573,0.5724,0.606,0.5673,0.5689
176,HC01_VC88,0.5235,0.5538,0.5604,0.555,0.5734,0.5896,0.622,0.5709,0.5682
124,HC01_VC26,0.5498,0.575,0.5714,0.5459,0.5564,0.5713,0.6049,0.5487,0.5678
128,HC01_VC30,0.5629,0.5852,0.5687,0.5466,0.5289,0.5686,0.5962,0.5638,0.5653
170,HC01_VC80,0.5642,0.5838,0.5675,0.535,0.5464,0.559,0.5926,0.5201,0.5641
177,HC01_VC89,0.5271,0.5483,0.5453,0.5548,0.5657,0.5779,0.6191,0.5471,0.5626
26,HC01_VC119,0.5266,0.5523,0.557,0.5473,0.5573,0.5724,0.6059,0.5015,0.5599
169,HC01_VC79,0.5435,0.5646,0.5589,0.53,0.5408,0.5562,0.5891,0.5485,0.5547
167,HC01_VC77,0.5213,0.5548,0.5486,0.5323,0.5424,0.5616,0.5921,0.5519,0.5504
1,HC01_VC04,0.5206,0.5481,0.5438,0.5296,0.5462,0.5544,0.5884,0.5419,0.5473
75,HC01_VC17,0.5224,0.5486,0.5431,0.529,0.5398,0.5522,0.5863,0.5388,0.5459
183,HC02_VC03,0.5037,0.5245,0.5341,0.5192,0.5255,0.5185,0.5831,0.516,0.5298
308,HC02_VC29,0.523,0.5318,0.5131,0.5169,0.5097,0.5339,0.5671,0.5234,0.5279
219,HC02_VC13,0.506,0.5348,0.5147,0.5288,0.5201,0.511,0.561,0.5139,0.5252
184,HC02_VC04,0.5088,0.5312,0.5145,0.5121,0.5085,0.5163,0.5599,0.5131,0.5216
257,HC02_VC17,0.5089,0.5358,0.5139,0.5031,0.502,0.5218,0.5582,0.5116,0.5205
